JNJ:64.60:Moving down:-0.010000000000005:64.88:64.25:64.28
KO:77.57:Moving down:-0.010000000000005:77.19:76.49:76.78
BA:74.14:Moving down:-0.040000000000006:74.86:73.32:74.05
UTX:77.45:Moving up:0.010000000000005:77.91:76.76:77.01
HD:50.63:Moving up:0.010000000000005:50.37:49.85:50.11
AXP:59.51:Moving up:0.009999999999998:59.99:58.93:59.46
GE:19.15:Moving up:0.009999999999998:19.04:18.74:18.91
WMT:59.38:Moving up:0.010000000000005:59.24:58.27:59.03
HD:50.64:Moving up:0.009999999999998:50.37:49.85:50.11
KFT:39.10:Moving up:0.009999999999998:39.14:38.84:38.87
CVX:103.83:Moving down:-0.010000000000005:102.50:101.37:101.78
PG:64.20:Moving up:0.010000000000005:64.29:63.57:63.67
IBM:200.94:Moving down:-0.030000000000001:203.00:199.06:201.23
DD:52.10:Moving down:-0.009999999999998:52.60:51.85:52.09
KO:77.56:Moving down:-0.0099999999999909:77.19:76.49:76.78
VZ:40.60:Moving up:0.009999999999998:40.47:40.10:40.25
UTX:77.46:Moving up:0.0099999999999909:77.91:76.76:77.01
CVX:103.84:Moving up:0.010000000000005:102.50:101.37:101.78
HD:50.61:Moving down:-0.030000000000001:50.37:49.85:50.11
JPM:40.87:Moving up:0.009999999999998:41.02:40.12:40.64
MMM:87.27:Moving up:0.0099999999999909:87.84:85.98:87.27
MCD:92.18:Moving up:0.010000000000005:93.09:91.56:91.93
KFT:39.08:Moving down:-0.020000000000003:39.14:38.84:38.87
BA:74.13:Moving down:-0.010000000000005:74.86:73.32:74.05
DIS:45.38:Moving down:-0.009999999999998:45.80:44.41:45.02
HPQ:23.55:Moving down:-0.02:23.53:22.92:23.33
VZ:40.59:Moving down:-0.009999999999998:40.47:40.10:40.25
PG:64.19:Moving down:-0.010000000000005:64.29:63.57:63.67
AXP:59.49:Moving down:-0.019999999999996:59.99:58.93:59.46
JPM:40.84:Moving down:-0.029999999999994:41.02:40.12:40.64
DD:52.08:Moving down:-0.020000000000003:52.60:51.85:52.09
WMT:59.32:Moving down:-0.060000000000002:59.24:58.27:59.03
KO:77.55:Moving down:-0.010000000000005:77.19:76.49:76.78
HD:50.57:Moving down:-0.039999999999999:50.37:49.85:50.11
TRV:64.67:Moving down:-0.030000000000001:64.32:63.60:63.92
IBM:201.00:Moving up:0.060000000000002:203.00:199.06:201.23
PFE:22.85:Moving down:-0.02:22.79:21.95:22.45
JPM:40.85:Moving up:0.009999999999998:41.02:40.12:40.64
AXP:59.50:Moving up:0.009999999999998:59.99:58.93:59.46
CAT:95.65:Moving down:-0.099999999999994:97.30:94.08:95.99
MRK:38.45:Moving up:0.010000000000005:38.49:38.09:38.09
DD:52.11:Moving up:0.030000000000001:52.60:51.85:52.09
